,artist,title,albumart,time,channel
159,Armin van Buuren,I Need You (f/Fernando Garibay),http://www.siriusxm.com/albumart/Live/1700/arminvanbuur_586FAF45_m.jpg,1493485721.250289,BPM
160,deadmau5,Some Chords,http://www.siriusxm.com/albumart/Live/1700/deadmau5_52023F9B_m.jpg,1493485841.3037965,BPM
161,Audien/Max,One More Weekend,http://www.siriusxm.com/albumart/Live/1700/audienmax_58F75B80_m.jpg,1493486081.1398082,BPM
162,@SlushiiMusic,#bpmbreaker,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493486261.1010153,BPM
163,Slushii\\Marshmello,Twinbow,http://www.siriusxm.com/albumart/Live/1700/slushiimarsh_58CC093B_m.jpg,1493486321.5475452,BPM
164,Breathe Carolina/Shanahan,Stars & Moon,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493486441.1760936,BPM
165,Martin Jensen,Solo Dance,http://www.siriusxm.com/albumart/Live/1700/martinjensen_5840CB4D_m.jpg,1493486681.1156082,BPM
166,Paul Oakenfold,Ready Steady Go,http://www.siriusxm.com/albumart/Live/1700/pauloakenfol_4EC73A8D_m.jpg,1493486861.312791,BPM
167,DJ Snake/Mr. Hudson,Here Comes The Night (NGHTMRE Remix,http://www.siriusxm.com/albumart/Live/1730/djsnakemrhud_58E44EC6_m.jpg,1493487101.180056,BPM
168,Grandtheft/Delaney Jane,Easy Go,http://www.siriusxm.com/albumart/Live/1730/grandtheftde_5903DF81_m.jpg,1493487341.1203115,BPM
169,Lucas & Steve/Jake Reese,Calling On You,http://www.siriusxm.com/albumart/Live/1730/lucassteveja_588A424B_m.jpg,1493487521.1157715,BPM
170,Dillon Francis,Anywhere,http://www.siriusxm.com/albumart/Live/1730/dillonfranci_58C75F7A_m.jpg,1493487641.1413946,BPM
171,Tritonal,Anchor,http://www.siriusxm.com/albumart/Live/1730/tritonal_58C8154A_m.jpg,1493487821.1026938,BPM
